experiment,plate,specimen,tube,tube.no,.no,n,min,median,max,geo.mean,arith.mean,sd,se,r.sd,r.se,comp
olfactory bulb,6,Specimen_061,OB,2,28,202,1.9395192526186185,2.3569803520967882,2.6989700043360187,2.3538727711837675,2.386781416293713,0.17205118665581695,0.012105479249896597,0.26419673445939884,0.018588817369139393,NA
olfactory bulb,6,Specimen_061,OB,2,28,202,2.3201462861110542,2.387389826338729,2.6273658565927325,2.4094269010428504,2.416319128170933,0.07549643094499815,0.005311910344880073,0.10319149801525991,0.007260528464057766,NA
olfactory bulb,6,Specimen_061,OB,2,28,202,4.815509391576,4.91682021873819,4.99587821771616,4.915335675077866,4.917392385756363,0.04253086916496366,0.002992461511971371,0.07021844466469188,0.004940552526085707,NA
olfactory bulb,6,Specimen_061,OB,2,28,202,2.130333768495006,2.4494777141122204,2.885926339801431,2.4425402833697905,2.4723001548852457,0.16004186587789324,0.011260506388574036,0.2709554466640168,0.019064358700410174,NA
olfactory bulb,6,Specimen_061,OB,2,28,202,2.5327543789924976,2.8909781619743344,3.4369573306694496,2.9067087063615067,2.9466905450216623,0.17978924993121903,0.012649927482050651,0.2305372922411156,0.01622054727896187,NA
olfactory bulb,6,Specimen_061,OB,2,28,202,4.791146480912802,4.904362344979191,4.977050928177409,4.902649575276572,4.904587962066281,0.04128544789727286,0.0029048339773611576,0.06899647153902287,0.004854574796990995,NA
olfactory bulb,6,Specimen_062,OB,1,31,327,3.00987563371216,3.250420002308894,3.442009159140952,3.244938430376103,3.2574767421412663,0.10533712338161827,0.005825156233500692,0.18137027764457725,0.010029799271862642,NA
olfactory bulb,6,Specimen_062,OB,1,31,327,1.662757831681574,1.9444826721501687,2.2278867046136734,1.9469555582528133,1.9670668396066506,0.13316351862104406,0.007363959406410205,0.20491664263301912,0.011331916231064129,NA
olfactory bulb,6,Specimen_062,OB,1,31,327,2.3201462861110542,2.4265112613645754,2.629409599102719,2.439117714229711,2.4466359571521497,0.07991279540158587,0.004419187683563092,0.1341354324410293,0.007417706363467325,NA
olfactory bulb,6,Specimen_062,OB,1,31,327,4.844142414006791,4.926595555860277,4.998618887358323,4.9283652801432,4.930031162954625,0.03808329860059327,0.0021060112248539545,0.06664826314452865,0.003685657373629155,NA
olfactory bulb,6,Specimen_062,OB,1,31,327,1.7323937598229686,2.0253058652647704,2.3138672203691533,2.0270382380908605,2.0489214666025672,0.13920044305510246,0.007697802090445039,0.24507090123179964,0.013552451805506276,NA
olfactory bulb,6,Specimen_062,OB,1,31,327,2.290034611362518,2.5415792439465807,2.791690649020118,2.5358407547753337,2.5507816945268433,0.11510112567220834,0.006365106793958762,0.19065108872117248,0.010543029297130305,NA
olfactory bulb,6,Specimen_062,OB,1,31,327,4.836935746837654,4.920877759706491,4.9942712924692065,4.9212985925272905,4.922901483320845,0.03736598353546986,0.002066343611112029,0.0655467953127515,0.0036247460633493755,NA
olfactory bulb,6,Specimen_062,OB,2,32,425,1,1.919078092376074,3.0965624383741357,2.0430819499979234,2.346684265152791,0.5173644334430116,0.02509586124733382,0.7974180291759068,0.03868045602428387,NA
olfactory bulb,6,Specimen_062,OB,2,32,425,1.2304489213782739,2.514547752660286,4.038341933653606,2.618970424322187,3.230755974717193,0.8111500469282025,0.03934655672599648,1.5814537487338634,0.07671177468304388,NA
olfactory bulb,6,Specimen_062,OB,2,32,425,2.3201462861110542,2.4800069429571505,2.8943160626844384,2.525671387302815,2.556220175710253,0.15748967383330043,0.007639371295985546,0.22734973747495493,0.011028082136066882,NA
olfactory bulb,6,Specimen_062,OB,2,32,425,4.645197372232338,4.8425560025144,4.995266237181497,4.8419362594887705,4.848675951340017,0.0774230656237245,0.0037555703226558094,0.10797143610375481,0.005237383948298932,NA
olfactory bulb,6,Specimen_062,OB,2,32,425,1.3979400086720377,2.311753861055754,3.840670561333409,2.5015083251446475,3.0319433091553156,0.7191173617402324,0.0348823157608292,1.2052766027153548,0.05846450283624731,NA
olfactory bulb,6,Specimen_062,OB,2,32,425,1.3010299956639813,3.1031192535457137,4.549897918901907,2.9774515002461497,3.6575912163788606,0.9146790835358704,0.04436845264660651,1.9708630979313666,0.0956009026635655,NA
olfactory bulb,6,Specimen_062,OB,2,32,425,4.707216202961764,4.815315080327541,4.9195282596443874,4.821556154112488,4.824738911359651,0.05261937028360277,0.0025524143721503685,0.08072117972020712,0.00391555235542212,NA
olfactory bulb,6,Specimen_063,OB,1,35,1418,1.2304489213782739,2.328374817138971,3.1215598441875008,2.259746460389522,2.392355827612434,0.36378674293293,0.009660703496890407,0.5557416075211322,0.014758247779624926,NA
olfactory bulb,6,Specimen_063,OB,1,35,1418,1.3010299956639813,3.3120711988312275,4.111531343430511,3.0774646919828847,3.420985256705896,0.6739438035641999,0.017897219693353842,0.9174372230606034,0.0243634193966025,NA
olfactory bulb,6,Specimen_063,OB,1,35,1418,2.3201462861110542,2.4871383754771865,2.8870543780509568,2.5270702049487928,2.55688997639792,0.15590911558051665,0.004140315081144885,0.24704483396807542,0.006560510897573058,NA
olfactory bulb,6,Specimen_063,OB,1,35,1418,4.671634404198511,4.848814961402715,4.971324057505691,4.847350486553236,4.850914029431287,0.05622402686502679,0.001493082591644538,0.07488759641181245,0.001988711459622092,NA
