plate,specimen,tube,tube.no,.no,ch,n,min,median,max,geo.mean,arith.mean,sd,se
1,Specimen_002,B2,B02,14,percp.cy5.5,7144,1.139879092,2.463295619,3.615929051,2.413951545,2.708589521,0.553950052,0.006553901
1,Specimen_002,B2,B02,14,ssc,7144,1.539076128,2.400365289,3.332236415,2.379235163,2.524519694,0.364677053,0.004314572
1,Specimen_002,B3,B03,15,alexa.fluor.488,15892,1.025305881,1.972202853,2.784046425,1.965390775,2.126056436,0.387684927,0.003075315
1,Specimen_002,B3,B03,15,apc,15892,1.555819672,2.487534292,3.319089379,2.458932949,2.587244709,0.347246855,0.00275454
1,Specimen_002,B3,B03,15,buv.496,15892,2.199343719,2.737073344,3.394530469,2.762931171,2.85339017,0.277105929,0.002198146
1,Specimen_002,B3,B03,15,fsc,15892,1.448087688,2.675979895,3.726391407,2.642150407,2.844597859,0.446760226,0.003543931
1,Specimen_002,B3,B03,15,pe,15892,1.299289336,2.209032216,2.984554314,2.186812918,2.316989236,0.349438378,0.002771924
1,Specimen_002,B3,B03,15,percp.cy5.5,15892,1.474216281,2.704665191,3.710032699,2.678269065,2.874767371,0.439674623,0.003487724
1,Specimen_002,B3,B03,15,ssc,15892,1.621176274,2.527113813,3.354914777,2.521508699,2.660512251,0.356324798,0.002826551
1,Specimen_002,B4,B04,16,alexa.fluor.488,14851,1.056904873,2.079904484,2.960851148,2.06778389,2.249604667,0.413402459,0.003392307
1,Specimen_002,B4,B04,16,apc,14851,1.496929643,2.500236466,3.399237474,2.464906785,2.612954414,0.377509483,0.003097776
1,Specimen_002,B4,B04,16,buv.496,14851,2.172894724,2.714162036,3.358068153,2.740270056,2.831675702,0.277982804,0.002281078
1,Specimen_002,B4,B04,16,fsc,14851,1.393750644,2.765266122,3.902993357,2.710909445,2.949207866,0.495975363,0.004069886
1,Specimen_002,B4,B04,16,pe,14851,1.260071406,2.227115075,3.053808069,2.211874601,2.366820307,0.38208942,0.003135358
1,Specimen_002,B4,B04,16,percp.cy5.5,14851,1.539076128,2.823865333,3.843419665,2.78891351,3.002428244,0.462897503,0.003798455
1,Specimen_002,B4,B04,16,ssc,14851,1.73078227,2.63326643,3.467075105,2.642605697,2.782058673,0.353250728,0.002898713
1,Specimen_002,B5,B05,17,alexa.fluor.488,17412,1.086359824,2.088490465,2.918554531,2.069877329,2.228348945,0.389107482,0.0029488
1,Specimen_002,B5,B05,17,apc,17412,1.496929643,2.445853195,3.289615704,2.423789519,2.559099189,0.356598215,0.002702432
1,Specimen_002,B5,B05,17,buv.496,17412,2.199343719,2.695963002,3.314699162,2.722988325,2.805953473,0.264763231,0.002006473
1,Specimen_002,B5,B05,17,fsc,17412,1.448087688,2.702930047,3.765579176,2.665923006,2.873682203,0.455967655,0.003455491
1,Specimen_002,B5,B05,17,pe,17412,1.299289336,2.211334185,2.971192326,2.190006995,2.321081873,0.35159542,0.002664519
1,Specimen_002,B5,B05,17,percp.cy5.5,17412,1.637489745,2.831101557,3.814793464,2.798762932,2.980118866,0.423260052,0.00320762
1,Specimen_002,B5,B05,17,ssc,17412,1.73078227,2.572639318,3.350286783,2.578210508,2.700689097,0.331623254,0.002513163
1,Specimen_002,B6,B06,18,alexa.fluor.488,14056,1.056904873,2.065206145,2.901894025,2.049623035,2.221310611,0.403799806,0.003405926
1,Specimen_002,B6,B06,18,apc,14056,1.475380581,2.460957961,3.328640515,2.431187053,2.576254817,0.372130786,0.003138808
1,Specimen_002,B6,B06,18,buv.496,14056,2.203984236,2.689220059,3.299223939,2.716152263,2.794785797,0.25744241,0.002171447
1,Specimen_002,B6,B06,18,fsc,14056,1.437750587,2.697787127,3.770177252,2.660039673,2.874929981,0.462901258,0.003904429
1,Specimen_002,B6,B06,18,pe,14056,1.280122884,2.231520556,3.024461064,2.208256792,2.349038097,0.364833038,0.003077254
1,Specimen_002,B6,B06,18,percp.cy5.5,14056,1.55870858,2.788026875,3.794975744,2.760735685,2.962887545,0.445605647,0.003758545
1,Specimen_002,B6,B06,18,ssc,14056,1.660865471,2.554610293,3.379812965,2.554844637,2.693909801,0.354046922,0.002986276
1,Specimen_002,B7,B07,19,alexa.fluor.488,13005,0.991226084,2.027757198,2.907948522,2.015895285,2.21142785,0.432049862,0.003788599
1,Specimen_002,B7,B07,19,apc,13005,1.390228353,2.546690687,3.550995951,2.498340195,2.694681019,0.441425106,0.00387081
1,Specimen_002,B7,B07,19,buv.496,13005,2.201670196,2.689220059,3.273256006,2.711173111,2.785604213,0.251259852,0.002203271
1,Specimen_002,B7,B07,19,fsc,13005,1.274619656,2.721282917,3.920173432,2.658113979,2.943964898,0.548621906,0.004810807
1,Specimen_002,B7,B07,19,pe,13005,1.193681026,2.250810213,3.141098434,2.234385329,2.425616315,0.428957822,0.003761486
1,Specimen_002,B7,B07,19,percp.cy5.5,13005,1.474216281,2.870286822,3.933254407,2.818252866,3.071543779,0.513155364,0.004499805
1,Specimen_002,B7,B07,19,ssc,13005,1.697229336,2.620136055,3.474711507,2.619631567,2.768261493,0.36678423,0.003216292
1,Specimen_002,B8,B08,20,alexa.fluor.488,12609,0.991226084,1.986771734,2.806315678,1.973284422,2.149583625,0.409733532,0.003648893
1,Specimen_002,B8,B08,20,apc,12609,1.440909088,2.574818067,3.535501708,2.523326915,2.705169659,0.426562584,0.003798765
1,Specimen_002,B8,B08,20,buv.496,12609,2.210853365,2.682370743,3.256609531,2.704365621,2.774749708,0.24426406,0.0021753
1,Specimen_002,B8,B08,20,fsc,12609,1.357553733,2.700651835,3.796467512,2.648504217,2.899878734,0.509353124,0.004536059
1,Specimen_002,B8,B08,20,pe,12609,1.21695722,2.26726564,3.114957761,2.239150301,2.415900348,0.414961447,0.003695451
1,Specimen_002,B8,B08,20,percp.cy5.5,12609,1.485721432,2.842234702,3.934266112,2.79233356,3.028777825,0.494943143,0.00440773
1,Specimen_002,B8,B08,20,ssc,12609,1.697229336,2.58815961,3.405278059,2.585111789,2.72123769,0.351321982,0.003128708
1,Specimen_002,B9,B09,21,alexa.fluor.488,10948,0.954242509,2.065206145,2.937818703,2.049075277,2.252330602,0.444607286,0.00424922
1,Specimen_002,B9,B09,21,apc,10948,1.555819672,2.664228162,3.578941609,2.611327686,2.778243206,0.407896889,0.003898369
1,Specimen_002,B9,B09,21,buv.496,10948,2.21984641,2.683137137,3.236952722,2.708247016,2.777413606,0.242294842,0.002315671
1,Specimen_002,B9,B09,21,fsc,10948,1.393750644,2.711089771,3.750875443,2.663753227,2.897825433,0.488794086,0.004671524
1,Specimen_002,B9,B09,21,pe,10948,1.21695722,2.337898328,3.198646115,2.288799931,2.465873201,0.420726439,0.004020985
1,Specimen_002,B9,B09,21,percp.cy5.5,10948,1.45024912,2.864629732,3.85941453,2.8108513,3.046436745,0.498735407,0.004766535
1,Specimen_002,B9,B09,21,ssc,10948,1.645422277,2.584104738,3.413400378,2.572507556,2.720236677,0.369054688,0.003527145
1,Specimen_002,C1,C01,25,alexa.fluor.488,34068,1.25042003,2.126456123,2.892651034,2.122039494,2.251435043,0.345680646,0.001872845
1,Specimen_002,C1,C01,25,apc,34068,1.66124461,2.490744835,3.2548863,2.475997395,2.590409948,0.324372542,0.001757401
1,Specimen_002,C1,C01,25,buv.496,34068,2.199343719,2.77524626,3.445051285,2.799963823,2.898872572,0.290768459,0.001575339
1,Specimen_002,C1,C01,25,fsc,34068,1.719993854,2.776439668,3.707752383,2.755621152,2.920520238,0.396973485,0.002150741
1,Specimen_002,C1,C01,25,pe,34068,1.428134813,2.246597055,2.966376423,2.237523427,2.34834682,0.318461703,0.001725377
1,Specimen_002,C1,C01,25,percp.cy5.5,34068,1.838849091,2.845222114,3.713339328,2.840785063,2.986547142,0.367347863,0.001990234
1,Specimen_002,C1,C01,25,ssc,34068,1.773786456,2.560384916,3.299332952,2.571529926,2.685001982,0.316956976,0.001717224
1,Specimen_002,C10,C10,34,alexa.fluor.488,14063,0.991226084,2.094121612,3.003891166,2.077023917,2.285824644,0.447183128,0.003770912
1,Specimen_002,C10,C10,34,apc,14063,1.486288752,2.630020857,3.624348126,2.582868728,2.769497326,0.430585136,0.003630948
1,Specimen_002,C10,C10,34,buv.496,14063,2.206286053,2.71273389,3.312007998,2.736211571,2.818034824,0.263853146,0.002224966
1,Specimen_002,C10,C10,34,fsc,14063,1.382017049,2.831754634,4.046311761,2.762838625,3.035252176,0.536370542,0.004522993
1,Specimen_002,C10,C10,34,pe,14063,1.193681026,2.332721163,3.288061341,2.302560219,2.506695443,0.446061125,0.003761451
1,Specimen_002,C10,C10,34,percp.cy5.5,14063,1.507855882,2.919810033,3.988888806,2.868403663,3.123980846,0.515580054,0.004347675
1,Specimen_002,C10,C10,34,ssc,14063,1.683047045,2.638089728,3.503981261,2.642328817,2.800437406,0.379488709,0.003200073
1,Specimen_002,C11,C11,35,alexa.fluor.488,20727,1.187520737,2.16849751,3.023746193,2.16582801,2.317357113,0.375277828,0.002606662
1,Specimen_002,C11,C11,35,apc,20727,1.850768716,2.701878688,3.475903503,2.692982403,2.806366134,0.321650158,0.002234167
1,Specimen_002,C11,C11,35,buv.496,20727,2.189911227,2.726808712,3.34022595,2.755108361,2.84344497,0.274309913,0.001905343
1,Specimen_002,C11,C11,35,fsc,20727,1.862965774,2.988193199,3.967298005,2.963443517,3.130149116,0.403313782,0.002801398
1,Specimen_002,C11,C11,35,pe,20727,1.538322345,2.489789795,3.333334392,2.481136959,2.608494664,0.345223347,0.002397905
